lat,lon,elevation,slope,aspect,01-07-2015,02-07-2015,03-07-2015,04-07-2015,05-07-2015,06-07-2015,07-07-2015,08-07-2015,09-07-2015,10-07-2015,11-07-2015,12-07-2015,13-07-2015,14-07-2015,15-07-2015
26.5,88.75,78,2.2696187,294.10696,,,,,,,,,,,,,,,
26.5,89,69,1.3905253,228.17354,,,,,,,,,,,,,,,
26.5,89.25,63,1.0362657,270,,,,,,,,,,,,,,,
26.5,89.5,45,1.0362657,90,,,,,,,,,,,,,,,
26.5,89.75,51,0.92740995,180,,,,,,,,,,,,,,,
26.5,90,54,1.0362657,90,,,,,,,,,,,,,,,
26.5,90.25,55,0,0,,,,,,,,,,,,,,,
26.5,90.5,60,1.3905253,311.82645,,,,,,,,,,,,,,,
26.5,90.75,46,6.783408,17.70606,,,,,,,,,,,,,,,
26.5,91,43,0.92740995,0,,,,,,,,,,,,,,,
26.5,91.25,46,1.3905253,228.17354,,,,,,,,,,,,,,,
26.5,91.5,59,2.9665608,339.57132,,,,,,,,,,,,,,,
26.5,91.75,63,3.2410674,253.38956,,,,,,,,,,,,,,,
26.5,92,64,3.6156466,59.17873,,,,,,,,,,,,,,,
26.5,92.25,57,4.9801598,56.13046,,,,,,,,,,,,,,,
26.5,92.5,66,4.7409987,347.40253,,,,,,,,,,,,,,,
26.5,92.75,68,2.2696187,294.10696,,,,,,,,,,,,,,,
26.5,93,92,3.7047918,180,,,,,,,,,,,,,,,
26.5,93.25,262,3.7047918,0,,,,,,,,,,,,,,,
26.5,93.5,610,9.195146,0,,,,,,,,,,,,,,,
26.5,93.75,111,3.1060898,90,,,,,,,,,,,,,,,
26.5,94,102,2.2696187,245.89305,,,,,,,,,,,,,,,
26.5,94.25,336,45.778633,333.89108,,,,,,,,,,,,,,,
26.5,94.5,660,20.277285,203.0583,,,,,,,,,,,,,,,
26.5,94.75,568,17.77529,343.6139,,,,,,,,,,,,,,,
26.5,95,1363,17.77529,163.61388,,,,,,,,,,,,,,,
26.75,88.75,107,1.3922163,131.76418,,,,,,,,,,,,,,,
26.75,89,133,4.24416,330.75452,,,,,,,,,,,,,,,
26.75,89.25,178,0.92740995,180,,,,,,,,,,,,,,,
26.75,89.5,212,4.83339,40.02641,,,,,,,,,,,,,,,
26.75,90.25,193,4.540373,114.06026,,,,,,,,,,,,,,,
26.75,90.5,132,2.273756,114.06026,,,,,,,,,,,,,,,
26.75,90.75,252,1.3922163,228.23582,,,,,,,,,,,,,,,
26.75,91,82,1.0385344,270,,,,,,,,,,,,,,,
26.75,91.25,69,5.547545,180,,,,,,,,,,,,,,,
26.75,91.5,116,1.3922163,228.23582,,,,,,,,,,,,,,,
26.75,91.75,126,8.296467,48.235817,,,,,,,,,,,,,,,
26.75,92,109,0.92740995,180,,,,,,,,,,,,,,,
26.75,92.25,96,5.497656,109.6563,,,,,,,,,,,,,,,
26.75,92.5,89,0,0,,,,,,,,,,,,,,,
26.75,92.75,74,3.2475712,253.42386,,,,,,,,,,,,,,,
26.75,93,77,4.249056,77.415375,,,,,,,,,,,,,,,
26.75,93.25,89,3.112878,90,,,,,,,,,,,,,,,
26.75,93.5,66,0,0,,,,,,,,,,,,,,,
26.75,93.75,70,0,0,,,,,,,,,,,,,,,
26.75,94,87,3.8468215,164.35979,,,,,,,,,,,,,,,
26.75,94.25,94,1.3922163,48.235817,,,,,,,,,,,,,,,
26.75,94.5,120,3.4681227,143.25627,,,,,,,,,,,,,,,
26.75,94.75,342,13.067188,290.40897,,,,,,,,,,,,,,,
26.75,95,682,16.16744,223.45772,,,,,,,,,,,,,,,
26.75,95.25,1129,12.905451,336.69794,,,,,,,,,,,,,,,
27,88.5,688,32.220226,252.04755,,,,,,,,,,,,,,,
27,88.75,826,29.333141,33.341534,,,,,,,,,,,,,,,
27,92.25,1100,16.196566,141.2822,,,,,,,,,,,,,,,
27,92.5,783,4.246396,29.299534,,,,,,,,,,,,,,,
27,92.75,111,2.1261177,150.70047,,,,,,,,,,,,,,,
27,93,374,20.744675,230.12737,,,,,,,,,,,,,,,
27,93.25,334,11.883978,180,,,,,,,,,,,,,,,
27,93.5,624,18.860895,161.39172,,,,,,,,,,,,,,,
27,93.75,98,2.277949,294.01312,,,,,,,,,,,,,,,
27,94,82,3.2541616,253.45847,,,,,,,,,,,,,,,
27,94.25,86,2.277949,294.01312,,,,,,,,,,,,,,,
27,94.5,87,1.3939312,311.70123,,,,,,,,,,,,,,,
27,94.75,94,4.7419906,347.3488,,,,,,,,,,,,,,,
27,95,114,1.8543341,0,,,,,,,,,,,,,,,
27,95.25,411,17.361853,261.06418,,,,,,,,,,,,,,,
27,95.5,633,27.36993,165.77902,,,,,,,,,,,,,,,
27,95.75,1348,23.138527,33.55205,,,,,,,,,,,,,,,
27.25,88.25,950,33.633125,99.80748,,,,,,,,,,,,,,,
27.25,88.5,1169,28.035406,223.14827,,,,,,,,,,,,,,,
27.25,88.75,2075,47.150093,285.68167,,,,,,,,,,,,,,,
27.25,92.25,2749,6.302458,261.57184,,,,,,,,,,,,,,,
27.25,92.5,2194,32.071663,231.68289,,,,,,,,,,,,,,,
27.25,92.75,1656,32.265163,0,,,,,,,,,,,,,,,
27.25,93,994,19.560404,283.16763,,,,,,,,,,,,,,,
27.25,93.25,1831,28.08887,225.76385,,,,,,,,,,,,,,,
27.25,93.5,883,21.775602,140.34712,,,,,,,,,,,,,,,
27.25,93.75,767,25.561356,147.7928,,,,,,,,,,,,,,,
27.25,94,107,3.8480663,164.29352,,,,,,,,,,,,,,,
27.25,94.25,90,1.3956702,48.362354,,,,,,,,,,,,,,,
27.25,94.5,93,4.2486653,150.64578,,,,,,,,,,,,,,,
27.25,94.75,99,1.0431615,270,,,,,,,,,,,,,,,
27.25,95,108,2.127257,150.64578,,,,,,,,,,,,,,,
27.25,95.25,119,0,0,,,,,,,,,,,,,,,
27.25,95.5,163,2.127257,209.35422,,,,,,,,,,,,,,,
27.25,95.75,394,27.93471,285.94757,,,,,,,,,,,,,,,
27.25,96,523,29.585361,3.6777096,,,,,,,,,,,,,,,
27.25,97,1844,4.7424974,167.32138,,,,,,,,,,,,,,,
27.5,88.25,4953,30.36573,207.85468,,,,,,,,,,,,,,,
27.5,88.5,1728,26.052437,153.38644,,,,,,,,,,,,,,,
27.5,88.75,3953,37.885365,232.89001,,,,,,,,,,,,,,,
27.5,91.75,2066,25.832155,289.5349,,,,,,,,,,,,,,,
27.5,92,4061,38.958115,19.78887,,,,,,,,,,,,,,,
27.5,92.25,2828,33.508377,304.21735,,,,,,,,,,,,,,,
27.5,92.5,2260,20.434616,17.090977,,,,,,,,,,,,,,,
27.5,92.75,1802,31.916794,55.12593,,,,,,,,,,,,,,,
27.5,93,789,24.760279,45.416454,,,,,,,,,,,,,,,
27.5,93.25,2246,38.19932,76.92147,,,,,,,,,,,,,,,
27.5,93.5,1676,27.12396,325.2481,,,,,,,,,,,,,,,
27.5,93.75,1170,5.644003,169.35837,,,,,,,,,,,,,,,
27.5,94,1830,44.776573,153.80519,,,,,,,,,,,,,,,
27.5,94.25,115,5.547545,0,,,,,,,,,,,,,,,
27.5,94.5,108,4.276191,102.50317,,,,,,,,,,,,,,,
27.5,94.75,105,1.3974335,311.57336,,,,,,,,,,,,,,,
27.5,95,115,1.0455204,270,,,,,,,,,,,,,,,
